foldername,succesed,failed,Zero_Contamination_Badly_Measured,mae top,mse top,rmse top,median top,mae bottom,mse bottom,rmse bottom,median bottom,mae height,mse height,rmse height,median height

Contamination_Only_Dataset,227,51,57,3.317180616740088,17.92511013215859,4.233805632307486,3.0,5.154185022026431,42.17621145374449,6.494321477548251,4.0,6.145374449339207,53.6784140969163,7.326555404616572,6.0

Default_Dataset,444,51,62,3.3157894736842106,17.885964912280702,4.229180170231661,3.0,5.1798245614035086,42.521929824561404,6.520884129055001,4.0,6.1535087719298245,53.723684210526315,7.3296442076356145,6.0

Uniq_Contamination_Only_Dataset,33,11,9,2.6666666666666665,11.151515151515152,3.3393884397468874,2.0,5.333333333333333,46.96969696969697,6.853444168423419,5.0,6.0606060606060606,57.878787878787875,7.6078109781189935,5.0

Uniq_Dataset,68,10,12,2.6666666666666665,11.151515151515152,3.3393884397468874,2.0,5.333333333333333,46.96969696969697,6.853444168423419,5.0,6.0606060606060606,57.878787878787875,7.6078109781189935,5.0

Nanoscale
Uniq_Images', 'succesed': 66, 'failed': 10, 'Zero_Contamination_Badly_Measured': 12, 'mae top': 3.2701963636363636, 'mse top': 18.45721514623636, 'rmse top': 4.296186116340441, 'median top': 2.2482599999999997, 'mae bottom': 7.017296363636363, 'mse bottom': 85.08699596459996, 'rmse bottom': 9.224261269315823, 'median bottom': 5.6206499999999995, 'mae height': 7.902974545454543, 'mse height': 103.4676251558727, 'rmse height': 10.171903713458592, 'median height': 6.744779999999999}
ImagesBeforeResize,'succesed': 450, 'failed': 76, 'Zero_Contamination_Badly_Measured': 84, 'mae top': 6.939676956521737, 'mse top': 83.79754169842282, 'rmse top': 9.154099720803943, 'median top': 5.6206499999999995, 'mae bottom': 7.210259782608694, 'mse bottom': 79.15450151412497, 'rmse bottom': 8.896881561205868, 'median bottom': 6.744779999999999, 'mae height': 8.812310434782608, 'mse height': 103.51458258691845, 'rmse height': 10.174211644492091, 'median height': 8.993039999999999}